kanji_char	word	reading	pos	en_gloss	frequency_rank	han_viet
来	やって来る	やってくる	exp	to come along; to come around; to turn up	444	?
来	以来	いらい	n-suf	since; henceforth	4650	? ?
来	往来	おうらい	n	coming and going; traffic	5283	vãng ?
来	家来	けらい	n	retainer; vassal; follower	5581	gia ?
来	外来	がいらい	adj-no	foreign; imported	5990	ngoại ?
来	外来語	がいらいご	n	loanword (in Japanese, esp. one of Western origin); word of foreign origin	5991	ngoại ? ngữ
来	旧来	きゅうらい	adj-no	traditional; from ancient times; formerly	6974	? ?
立	王立	おうりつ	adj-no	royal (institution)	5345	vương lập
立	確立	かくりつ	n	establishment; settlement	6060	xác lập
立	顔立ち	かおだち	n	looks; features	6494	nhan lập
立	起立	きりつ	n	standing up	6737	khởi lập
立	逆立ち	さかだち	n	handstand; headstand	6862	nghịch lập
立	共立	きょうりつ	n	joint; common	7087	cộng lập
立	建立	こんりゅう	n	(act of) building (temple, monument, etc.); erection	7844	kiến lập
立	献立	こんだて	n	menu; bill of fare	7881	hiến lập
六	十六	じゅうろく	num	sixteen; 16	10561	thập lục
六	六月	ろくがつ	n	June	18190	lục nguyệt
六	六十四分音符	ろくじゅうしぶおんぷ	n	64th note; hemidemisemiquaver; semidemisemiquaver	18191	lục thập tứ phân âm bùa
六	六日	むいか	n	6th day of the month	18192	lục nhật
六	六	ろく	num	six; 6	18803	lục
六	六つ	むっつ	num	six	18804	lục
六	六十	ろくじゅう	num	sixty; 60	21370	lục thập
六	十六日	じゅうろくにち	n	16th day of the month	22322	thập lục nhật
話	お世話になる	おせわになる	exp	to receive favor; to receive assistance; to receive help; to be looked after; to be taken care of; to become dependent (on); to become much obliged (to someone); to become indebted	74	thế thoại
話	お話中	おはなしちゅう	adj-no	busy (phone)	95	thoại trung
話	逸話	いつわ	n	anecdote; story; episode	4981	dật thoại
話	英会話	えいかいわ	n	English conversation	5142	anh hội thoại
話	会話	かいわ	n	conversation; talk; chat	5755	hội thoại
話	携帯電話	けいたいでんわ	n	mobile phone; cell phone	7578	? ? ? thoại
話	公衆電話	こうしゅうでんわ	n	public telephone; pay phone	8391	công ? ? thoại
話	懇話	こんわ	n	friendly talk; chat	8963	khấn thoại
